ubox	unit	box	experiment	treatment	pend_in	pend_out	start	end	snap_type	start2	end2	snap_type2
1_10	1	10	carryover		155	158	6/5/21 18:17	6/7/21 7:00	carry1			
1_13	1	13	cold_snap	Cold	155	166	6/6/21 6:04	6/9/21 7:00	cold1	6/14/21 6:03	6/14/21 15:00	cold2
1_19	1	19	cold_snap	Control	157	168	6/8/21 5:55	6/11/21 7:00	cold1	6/16/21 6:00	6/16/21 15:00	cold2
1_23	1	23	cold_snap	Control	157	168	6/8/21 5:49	6/11/21 7:00	cold1	6/16/21 6:00	6/16/21 15:00	cold2
1_25	1	25	cold_snap	Control	155	166	6/6/21 6:00	6/9/21 7:00	cold1	6/14/21 6:00	6/14/21 15:00	cold2
1_37	1	37	cold_snap	Cold	168	179	6/19/21 6:19	6/22/21 7:00	cold1			
1_46	1	46	carryover		159	162	6/9/21 17:37	6/11/21 7:00	carry1			
1_48	1	48	cold_snap	Control	160	171	6/11/21 5:51	6/14/21 7:00	cold1	6/19/21 6:25	6/19/21 15:00	cold2
1_51	1	51	cold_snap	Cold	158	169	6/9/21 6:11	6/12/21 7:00	cold1	6/17/21 5:57	6/17/21 15:00	cold2
1_60	1	60	cold_snap	Control	158	169	6/9/21 6:13	6/12/21 7:00	cold1	6/17/21 6:00	6/17/21 15:00	cold2
1_62	1	62	cold_snap	Cold	155	166	6/6/21 6:16	6/9/21 7:00	cold1	6/14/21 6:15	6/14/21 15:00	cold2
1_72	1	72	cold_snap	Cold	158	169	6/9/21 6:19	6/12/21 7:00	cold1	6/17/21 6:05	6/17/21 15:00	cold2
1_80	1	80	carryover		154	157	6/4/21 17:57	6/6/21 7:00	carry1			
1_81	1	81	cold_snap	Control	156	167	6/7/21 6:12	6/10/21 7:00	cold1	6/15/21 6:12	6/15/21 15:00	cold2
1_89	1	89	cold_snap	Cold	157	168	6/8/21 6:03	6/11/21 7:00	cold1	6/16/21 6:00	6/16/21 15:00	cold2
1_91	1	91	cold_snap	Cold	158	169	6/9/21 6:32	6/12/21 7:00	cold1	6/17/21 6:10	6/17/21 15:00	cold2
1_104	1	104	carryover		157	160	6/7/21 17:52	6/9/21 7:00	carry1			
1_114	1	114	cold_snap	Control	157	168	6/8/21 6:14	6/11/21 7:00	cold1	6/16/21 6:00	6/16/21 15:00	cold2
1_121	1	121	cold_snap	Control	158	169	6/9/21 6:35	6/12/21 7:00	cold1	6/15/21 6:00	6/15/21 15:00	cold2
1_122	1	122	cold_snap	Cold	163	174	6/14/21 6:09	6/17/21 7:00	cold1			
1_309	1	309	carryover		154	157	6/4/21 17:50	6/6/21 7:00	carry1			
1_313	1	313	carryover		158	161	6/8/21 18:03	6/10/21 7:00	carry1			
1_360	1	360	carryover		151	154	6/1/21 5:53	6/3/21 7:00	carry1			
1_432	1	432	carryover		155	158	6/5/21 17:55	6/7/21 7:00	carry1			
2_6	2	6	cold_snap	Cold	156	167	6/7/21 6:01	6/10/21 7:00	cold1	6/15/21 6:06	6/15/21 15:00	cold2
2_7	2	7	cold_snap	Cold	155	166	6/6/21 5:58	6/9/21 7:00	cold1	6/14/21 6:21	6/14/21 15:00	cold2
2_8	2	8	cold_snap	Control	157	168	6/8/21 6:01	6/11/21 7:00	cold1	6/16/21 6:10	6/16/21 15:00	cold2
2_14	2	14	carryover		153	156	6/3/21 18:09	6/5/21 7:00	carry1			
2_18	2	18	cold_snap	Control	154	165	6/5/21 6:30	6/8/21 7:00	cold1	6/13/21 6:09	6/13/21 15:00	cold2
2_19	2	19	cold_snap	Control	155	166	6/6/21 6:00	6/9/21 7:00	cold1	6/14/21 6:29	6/14/21 15:00	cold2
2_21	2	21	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_23	2	23	cold_snap	Cold	155	166	6/6/21 6:05	6/9/21 7:00	cold1	6/14/21 6:34	6/14/21 15:00	cold2
2_25	2	25	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_32	2	32	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_44	2	44	cold_snap	Cold	155	166	6/6/21 6:08	6/9/21 7:00	cold1	6/14/21 6:43	6/14/21 15:00	cold2
2_47	2	47	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_50	2	50	cold_snap	Control	159	170	6/10/21 6:00	6/13/21 7:00	cold1	6/18/21 6:15	6/18/21 15:00	cold2
2_56	2	56	cold_snap	Cold	162	173	6/13/21 6:12	6/16/21 7:00	cold1	6/21/21 6:13	6/21/21 15:00	cold2
2_62	2	62	cold_snap	Cold	160	171	6/11/21 6:18	6/14/21 7:00	cold1	6/19/21 6:45	6/19/21 15:00	cold2
2_63	2	63	cold_snap	Control	155	166	6/6/21 6:11	6/9/21 7:00	cold1	6/14/21 6:52	6/14/21 15:00	cold2
2_64	2	64	cold_snap	Cold	160	171	6/11/21 6:19	6/14/21 7:00	cold1			
2_69	2	69	carryover		158	161	6/8/21 18:09	6/10/21 7:00	carry1			
2_70	2	70	cold_snap	Cold	155	166	6/6/21 6:14	6/9/21 7:00	cold1	6/14/21 7:16	6/14/21 15:00	cold2
2_72	2	72	cold_snap	Cold	157	168	6/8/21 6:20	6/11/21 7:00	cold1	6/16/21 6:35	6/16/21 15:00	cold2
2_74	2	74	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_82	2	82	cold_snap	Control	157	168	6/8/21 6:21	6/11/21 7:00	cold1	6/16/21 6:45	6/16/21 15:00	cold2
2_86	2	86	carryover		154	157	6/4/21 18:15	6/6/21 7:00	carry1			
2_92	2	92	cold_snap	Control	157	168	6/8/21 6:24	6/11/21 7:00	cold1	6/16/21 6:20	6/16/21 15:00	cold2
2_96	2	96	cold_snap	Control	159	170	6/10/21 6:00	6/13/21 7:00	cold1	6/18/21 6:28	6/18/21 15:00	cold2
2_97	2	97	cold_snap	Cold	163	174	6/14/21 7:08	6/17/21 7:00	cold1	6/22/21 6:15	6/22/21 15:00	cold2
2_103	2	103	carryover		153	156	6/3/21 18:23	6/5/21 7:00	carry1			
2_104	2	104	carryover		155	158	6/5/21 18:00	6/7/21 7:00	carry1			
2_105	2	105	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_107	2	107	carryover		155	158	6/5/21 18:00	6/7/21 7:00	carry1			
2_109	2	109	carryover		156	159	6/6/21 18:00	6/8/21 7:00	carry1			
2_111	2	111	carryover		150	153	5/31/21 6:02	6/2/21 7:00	carry1			
2_114	2	114	carryover		157	160	6/7/21 17:57	6/9/21 7:00	carry1			
2_116	2	116	carryover		157	160	6/7/21 18:02	6/9/21 7:00	carry1			
2_118	2	118	carryover		153	156	6/3/21 18:17	6/5/21 7:00	carry1			
2_120	2	120	cold_snap	Control	155	166	6/6/21 6:35	6/9/21 7:00	cold1	6/14/21 7:04	6/14/21 15:00	cold2
2_121	2	121	carryover		155	158	6/5/21 18:00	6/7/21 7:00	carry1			
2_123	2	123	cold_snap	Cold	156	167	6/7/21 7:01	6/10/21 7:00	cold1	6/15/21 6:18	6/15/21 15:00	cold2
2_126	2	126	carryover		158	161	6/8/21 17:52	6/10/21 7:00	carry1			
1_13	1	13	cold_snap	Cold	155	166	6/14/21 6:03	6/14/21 15:00	cold2			
1_19	1	19	cold_snap	Control	157	168	6/16/21 6:00	6/16/21 15:00	cold2			
1_23	1	23	cold_snap	Control	157	168	6/16/21 6:00	6/16/21 15:00	cold2			
1_25	1	25	cold_snap	Control	155	166	6/14/21 6:00	6/14/21 15:00	cold2			
1_48	1	48	cold_snap	Control	160	171	6/19/21 6:25	6/19/21 15:00	cold2			
1_51	1	51	cold_snap	Cold	158	169	6/17/21 5:57	6/17/21 15:00	cold2			
1_60	1	60	cold_snap	Control	158	169	6/17/21 6:00	6/17/21 15:00	cold2			
1_62	1	62	cold_snap	Cold	155	166	6/14/21 6:15	6/14/21 15:00	cold2			
1_72	1	72	cold_snap	Cold	158	169	6/17/21 6:05	6/17/21 15:00	cold2			
1_81	1	81	cold_snap	Control	156	167	6/15/21 6:12	6/15/21 15:00	cold2			
