#,Date-Time (EST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/05/2021 09:57:34,31.66,,
2,06/05/2021 09:58:34,31.92,,
3,06/05/2021 09:59:34,31.83,,
4,06/05/2021 10:00:34,31.87,,
5,06/05/2021 10:01:34,32.00,,
6,06/05/2021 10:02:34,31.83,,
7,06/05/2021 10:03:34,31.57,,
8,06/05/2021 10:04:34,31.49,,
9,06/05/2021 10:05:34,31.44,,
10,06/05/2021 10:06:34,31.92,,
11,06/05/2021 10:07:34,31.70,,
12,06/05/2021 10:08:34,31.01,,
13,06/05/2021 10:09:34,30.50,,
14,06/05/2021 10:10:34,29.98,,
15,06/05/2021 10:11:34,29.56,,
16,06/05/2021 10:12:34,29.17,,
17,06/05/2021 10:13:34,28.83,,
18,06/05/2021 10:14:34,28.57,,
19,06/05/2021 10:15:34,28.40,,
20,06/05/2021 10:16:34,28.18,,
21,06/05/2021 10:17:34,28.10,,
22,06/05/2021 10:18:34,28.01,,
23,06/05/2021 10:19:34,27.84,,
24,06/05/2021 10:20:34,27.84,,
25,06/05/2021 10:21:34,27.71,,
26,06/05/2021 10:22:34,27.58,,
27,06/05/2021 10:23:34,27.58,,
28,06/05/2021 10:24:34,27.58,,
29,06/05/2021 10:25:34,27.54,,
30,06/05/2021 10:26:34,27.50,,
31,06/05/2021 10:27:34,27.45,,
32,06/05/2021 10:28:34,27.45,,
33,06/05/2021 10:29:34,27.45,,
34,06/05/2021 10:30:34,27.50,,
35,06/05/2021 10:31:34,27.45,,
36,06/05/2021 10:32:34,27.41,,
37,06/05/2021 10:33:34,27.37,,
38,06/05/2021 10:34:34,27.41,,
39,06/05/2021 10:35:34,27.37,,
40,06/05/2021 10:36:34,27.50,,
41,06/05/2021 10:37:34,27.45,,
42,06/05/2021 10:38:34,27.50,,
43,06/05/2021 10:39:34,27.54,,
44,06/05/2021 10:40:34,27.54,,
45,06/05/2021 10:41:34,27.58,,
46,06/05/2021 10:42:34,27.63,,
47,06/05/2021 10:43:34,27.58,,
48,06/05/2021 10:44:34,27.54,,
49,06/05/2021 10:45:34,27.54,,
50,06/05/2021 10:46:34,27.54,,
51,06/05/2021 10:47:34,27.58,,
52,06/05/2021 10:48:34,27.67,,
53,06/05/2021 10:49:34,27.67,,
54,06/05/2021 10:50:34,27.67,,
