#,Date-Time (EST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/04/2021 11:24:34,33.12,,,,
2,06/04/2021 11:24:58,,Logged,Logged,,
3,06/04/2021 11:25:34,33.37,,,,
4,06/04/2021 11:26:34,33.33,,,,
5,06/04/2021 11:27:34,33.46,,,,
6,06/04/2021 11:28:34,33.67,,,,
7,06/04/2021 11:29:34,33.97,,,,
8,06/04/2021 11:30:34,33.25,,,,
9,06/04/2021 11:31:34,31.87,,,,
10,06/04/2021 11:32:34,30.80,,,,
11,06/04/2021 11:33:34,29.77,,,,
12,06/04/2021 11:34:34,28.87,,,,
13,06/04/2021 11:35:34,28.01,,,,
14,06/04/2021 11:36:34,27.32,,,,
15,06/04/2021 11:37:34,26.60,,,,
16,06/04/2021 11:38:34,25.74,,,,
17,06/04/2021 11:39:34,25.09,,,,
18,06/04/2021 11:40:34,24.45,,,,
19,06/04/2021 11:41:34,23.85,,,,
20,06/04/2021 11:42:34,23.51,,,,
21,06/04/2021 11:43:34,23.21,,,,
22,06/04/2021 11:44:34,22.99,,,,
23,06/04/2021 11:45:34,22.73,,,,
24,06/04/2021 11:46:34,22.52,,,,
25,06/04/2021 11:47:34,22.35,,,,
26,06/04/2021 11:48:34,22.09,,,,
27,06/04/2021 11:49:34,21.92,,,,
28,06/04/2021 11:50:34,21.79,,,,
29,06/04/2021 11:51:34,21.66,,,,
30,06/04/2021 11:52:34,21.58,,,,
31,06/04/2021 11:53:34,21.53,,,,
32,06/04/2021 11:54:34,21.45,,,,
33,06/04/2021 11:55:34,21.36,,,,
34,06/04/2021 11:56:34,21.36,,,,
35,06/04/2021 11:57:34,21.32,,,,
36,06/04/2021 11:58:34,21.32,,,,
37,06/04/2021 11:59:34,21.36,,,,
38,06/04/2021 12:00:34,21.32,,,,
39,06/04/2021 12:01:34,21.28,,,,
40,06/04/2021 12:02:34,21.28,,,,
41,06/04/2021 12:03:34,21.28,,,,
42,06/04/2021 12:04:34,21.23,,,,
43,06/04/2021 12:05:34,21.28,,,,
44,06/04/2021 12:06:34,21.19,,,,
45,06/04/2021 12:07:34,21.23,,,,
46,06/04/2021 12:08:34,21.23,,,,
47,06/04/2021 12:09:34,21.23,,,,
48,06/04/2021 12:10:34,21.23,,,,
49,06/04/2021 12:11:34,21.23,,,,
50,06/04/2021 12:12:34,21.23,,,,
51,06/04/2021 12:13:34,21.28,,,,
52,06/04/2021 12:14:34,21.28,,,,
53,06/04/2021 12:15:34,21.28,,,,
54,06/04/2021 12:16:34,21.23,,,,
55,06/04/2021 12:17:34,21.19,,,,
56,06/04/2021 12:18:34,21.23,,,,
57,06/04/2021 12:19:34,21.19,,,,
58,06/04/2021 12:20:34,21.19,,,,
59,06/04/2021 12:21:34,21.15,,,,
60,06/04/2021 12:22:34,21.19,,,,
61,06/04/2021 12:23:34,21.19,,,,
62,06/04/2021 12:24:34,21.19,,,,
63,06/04/2021 12:25:34,21.19,,,,
