#,Date-Time (EST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/02/2021 09:14:41,24.19,,
2,06/02/2021 09:15:41,25.65,,
3,06/02/2021 09:16:41,25.95,,
4,06/02/2021 09:16:58,,Logged,
5,06/02/2021 09:17:41,25.69,,
6,06/02/2021 09:18:41,25.48,,
7,06/02/2021 09:19:41,25.31,,
8,06/02/2021 09:20:09,,Logged,
9,06/02/2021 09:20:41,25.14,,
10,06/02/2021 09:21:41,24.97,,
11,06/02/2021 09:22:41,24.79,,
12,06/02/2021 09:23:41,24.88,,
13,06/02/2021 09:24:41,24.62,,
14,06/02/2021 09:25:41,25.01,,
15,06/02/2021 09:26:41,25.44,,
16,06/02/2021 09:27:41,25.39,,
17,06/02/2021 09:28:41,25.18,,
18,06/02/2021 09:29:41,25.01,,
19,06/02/2021 09:30:41,24.75,,
20,06/02/2021 09:31:41,24.66,,
21,06/02/2021 09:32:41,24.45,,
22,06/02/2021 09:33:41,24.32,,
23,06/02/2021 09:34:41,24.19,,
24,06/02/2021 09:35:41,24.11,,
25,06/02/2021 09:36:41,23.72,,
26,06/02/2021 09:37:41,23.55,,
27,06/02/2021 09:38:41,23.29,,
28,06/02/2021 09:39:41,23.12,,
29,06/02/2021 09:40:41,22.95,,
30,06/02/2021 09:41:41,22.82,,
31,06/02/2021 09:42:41,22.65,,
32,06/02/2021 09:43:41,22.56,,
33,06/02/2021 09:44:41,22.52,,
34,06/02/2021 09:45:41,22.43,,
35,06/02/2021 09:46:41,22.31,,
36,06/02/2021 09:47:41,22.22,,
37,06/02/2021 09:48:41,22.18,,
38,06/02/2021 09:49:41,22.09,,
39,06/02/2021 09:50:41,22.13,,
40,06/02/2021 09:51:41,22.13,,
41,06/02/2021 09:52:41,22.09,,
42,06/02/2021 09:53:41,22.09,,
43,06/02/2021 09:54:41,22.09,,
44,06/02/2021 09:55:41,22.09,,
45,06/02/2021 09:56:41,22.09,,
46,06/02/2021 09:57:41,22.09,,
47,06/02/2021 09:58:41,22.09,,
48,06/02/2021 09:59:41,22.05,,
49,06/02/2021 10:00:41,22.09,,
50,06/02/2021 10:01:41,22.39,,
51,06/02/2021 10:02:41,22.43,,
52,06/02/2021 10:03:41,22.43,,
53,06/02/2021 10:04:41,22.48,,
54,06/02/2021 10:05:41,22.48,,
55,06/02/2021 10:06:41,22.48,,
56,06/02/2021 10:07:41,22.52,,
57,06/02/2021 10:08:41,22.61,,
58,06/02/2021 10:09:27,,Logged,
59,06/02/2021 10:09:41,22.56,,
60,06/02/2021 10:10:41,22.61,,
61,06/02/2021 10:11:41,23.12,,
62,06/02/2021 10:12:41,23.03,,
63,06/02/2021 10:13:41,22.78,,
64,06/02/2021 10:14:41,22.52,,
65,06/02/2021 10:15:41,22.35,,
66,06/02/2021 10:16:41,22.22,,
67,06/02/2021 10:17:41,22.09,,
68,06/02/2021 10:18:41,21.92,,
69,06/02/2021 10:19:41,21.79,,
70,06/02/2021 10:20:41,21.75,,
71,06/02/2021 10:21:41,21.70,,
72,06/02/2021 10:22:41,21.58,,
73,06/02/2021 10:23:41,21.53,,
74,06/02/2021 10:24:41,21.49,,
75,06/02/2021 10:25:41,21.36,,
76,06/02/2021 10:26:41,21.36,,
77,06/02/2021 10:27:41,21.36,,
78,06/02/2021 10:28:41,21.32,,
79,06/02/2021 10:29:41,21.28,,
80,06/02/2021 10:30:41,21.19,,
81,06/02/2021 10:31:41,21.15,,
82,06/02/2021 10:32:41,21.15,,
83,06/02/2021 10:33:41,21.10,,
84,06/02/2021 10:34:41,21.02,,
85,06/02/2021 10:35:41,21.02,,
86,06/02/2021 10:36:41,21.06,,
87,06/02/2021 10:37:41,21.06,,
88,06/02/2021 10:38:41,20.98,,
89,06/02/2021 10:39:41,21.02,,
90,06/02/2021 10:40:41,20.98,,
91,06/02/2021 10:41:41,20.98,,
92,06/02/2021 10:42:41,20.89,,
93,06/02/2021 10:43:41,20.85,,
94,06/02/2021 10:44:41,20.89,,
95,06/02/2021 10:45:41,20.85,,
96,06/02/2021 10:46:41,20.85,,
97,06/02/2021 10:47:41,20.80,,
98,06/02/2021 10:48:41,20.76,,
99,06/02/2021 10:49:41,20.80,,
100,06/02/2021 10:50:41,20.80,,
101,06/02/2021 10:51:41,20.76,,
102,06/02/2021 10:52:41,20.76,,
103,06/02/2021 10:53:41,20.85,,
104,06/02/2021 10:54:41,20.89,,
105,06/02/2021 10:55:41,20.85,,
106,06/02/2021 10:56:41,20.85,,
107,06/02/2021 10:57:41,20.85,,
108,06/02/2021 10:58:41,20.85,,
109,06/02/2021 10:59:41,20.85,,
110,06/02/2021 11:00:41,20.89,,
111,06/02/2021 11:01:41,20.89,,
112,06/02/2021 11:02:41,20.89,,
113,06/02/2021 11:03:41,20.89,,
114,06/02/2021 11:04:41,20.85,,
115,06/02/2021 11:05:41,20.89,,
116,06/02/2021 11:06:41,20.85,,
117,06/02/2021 11:07:41,20.80,,
118,06/02/2021 11:08:41,20.85,,
119,06/02/2021 11:09:41,20.85,,
120,06/02/2021 11:10:41,20.85,,
121,06/02/2021 11:11:41,20.85,,
122,06/02/2021 11:12:41,20.85,,
123,06/02/2021 11:13:41,20.89,,
124,06/02/2021 11:14:41,20.80,,
125,06/02/2021 11:15:41,20.85,,
126,06/02/2021 11:16:41,20.85,,
127,06/02/2021 11:17:41,20.80,,
128,06/02/2021 11:18:41,20.80,,
129,06/02/2021 11:19:41,20.85,,
130,06/02/2021 11:20:41,20.85,,
131,06/02/2021 11:21:41,20.76,,
132,06/02/2021 11:22:41,20.72,,
133,06/02/2021 11:23:41,20.68,,
134,06/02/2021 11:24:41,20.63,,
135,06/02/2021 11:25:41,20.59,,
136,06/02/2021 11:26:41,20.55,,
137,06/02/2021 11:27:41,20.55,,
138,06/02/2021 11:28:41,20.42,,
139,06/02/2021 11:29:41,20.42,,
140,06/02/2021 11:30:41,20.29,,
141,06/02/2021 11:31:41,20.25,,
142,06/02/2021 11:32:41,20.20,,
143,06/02/2021 11:33:41,20.16,,
144,06/02/2021 11:34:41,20.16,,
145,06/02/2021 11:35:41,20.16,,
146,06/02/2021 11:36:41,20.12,,
147,06/02/2021 11:37:41,20.12,,
148,06/02/2021 11:38:41,20.12,,
149,06/02/2021 11:39:41,20.03,,
150,06/02/2021 11:40:41,19.99,,
151,06/02/2021 11:41:41,19.95,,
152,06/02/2021 11:42:41,19.86,,
153,06/02/2021 11:43:41,19.77,,
154,06/02/2021 11:44:41,19.73,,
155,06/02/2021 11:45:41,19.65,,
156,06/02/2021 11:46:41,19.60,,
157,06/02/2021 11:47:41,19.52,,
158,06/02/2021 11:48:41,19.47,,
159,06/02/2021 11:49:41,19.35,,
160,06/02/2021 11:50:41,19.22,,
161,06/02/2021 11:51:41,19.17,,
162,06/02/2021 11:52:41,19.09,,
163,06/02/2021 11:53:41,19.00,,
164,06/02/2021 11:54:41,18.96,,
165,06/02/2021 11:55:41,18.92,,
166,06/02/2021 11:56:41,18.87,,
167,06/02/2021 11:57:41,18.87,,
168,06/02/2021 11:58:41,18.87,,
169,06/02/2021 11:59:41,18.87,,
170,06/02/2021 12:00:41,18.87,,
171,06/02/2021 12:01:41,18.83,,
172,06/02/2021 12:02:41,18.79,,
173,06/02/2021 12:03:41,18.74,,
174,06/02/2021 12:04:41,18.79,,
175,06/02/2021 12:05:41,18.83,,
176,06/02/2021 12:06:41,18.79,,
177,06/02/2021 12:07:41,18.79,,
178,06/02/2021 12:08:41,18.79,,
179,06/02/2021 12:09:41,18.79,,
180,06/02/2021 12:10:41,18.79,,
181,06/02/2021 12:11:41,18.74,,
182,06/02/2021 12:12:41,18.74,,
183,06/02/2021 12:13:41,18.79,,
184,06/02/2021 12:14:41,18.79,,
185,06/02/2021 12:15:41,18.74,,
186,06/02/2021 12:16:41,18.79,,
187,06/02/2021 12:17:41,18.83,,
188,06/02/2021 12:18:41,18.83,,
189,06/02/2021 12:19:41,18.92,,
190,06/02/2021 12:20:41,18.96,,
191,06/02/2021 12:21:41,18.96,,
192,06/02/2021 12:22:41,19.00,,
193,06/02/2021 12:23:41,18.96,,
194,06/02/2021 12:24:41,18.96,,
195,06/02/2021 12:25:41,19.00,,
196,06/02/2021 12:26:41,19.05,,
197,06/02/2021 12:27:41,19.05,,
198,06/02/2021 12:28:41,19.05,,
199,06/02/2021 12:29:41,19.00,,
200,06/02/2021 12:30:41,19.00,,
201,06/02/2021 12:31:41,18.92,,
202,06/02/2021 12:32:41,19.00,,
203,06/02/2021 12:33:41,18.96,,
204,06/02/2021 12:34:41,18.96,,
205,06/02/2021 12:35:41,18.96,,
206,06/02/2021 12:36:41,19.00,,
207,06/02/2021 12:37:41,18.92,,
208,06/02/2021 12:38:41,18.92,,
209,06/02/2021 12:39:41,18.92,,
210,06/02/2021 12:40:41,18.96,,
211,06/02/2021 12:41:41,18.96,,
212,06/02/2021 12:42:41,18.92,,
213,06/02/2021 12:43:41,18.96,,
214,06/02/2021 12:44:41,18.92,,
215,06/02/2021 12:45:41,18.92,,
216,06/02/2021 12:46:41,18.92,,
217,06/02/2021 12:47:41,18.92,,
218,06/02/2021 12:48:41,18.92,,
219,06/02/2021 12:49:41,18.87,,
220,06/02/2021 12:50:41,18.92,,
221,06/02/2021 12:51:41,18.92,,
222,06/02/2021 12:52:41,18.92,,
223,06/02/2021 12:53:41,18.92,,
224,06/02/2021 12:54:41,19.00,,
225,06/02/2021 12:55:41,19.00,,
226,06/02/2021 12:56:41,19.00,,
227,06/02/2021 12:57:41,18.96,,
228,06/02/2021 12:58:41,19.00,,
229,06/02/2021 12:59:41,18.96,,
230,06/02/2021 13:00:41,18.92,,
231,06/02/2021 13:01:41,19.00,,
232,06/02/2021 13:02:41,19.00,,
233,06/02/2021 13:03:41,18.96,,
234,06/02/2021 13:04:41,18.96,,
235,06/02/2021 13:05:41,18.96,,
236,06/02/2021 13:06:41,18.92,,
237,06/02/2021 13:07:41,18.92,,
238,06/02/2021 13:08:41,18.83,,
239,06/02/2021 13:09:41,18.87,,
240,06/02/2021 13:10:41,18.87,,
241,06/02/2021 13:11:41,18.83,,
